NOMBDEP,NOMBPROV,NOMBDIST,Clasificacion_Climatica
JUNIN,JAUJA,ATAURA,Semiseco con humedad abundante todas las estaciones del a
JUNIN,JAUJA,YAUYOS,Semiseco con oto o e invierno secos. Frso.
ANCASH,HUARI,CAJAY,Lluvioso con oto
ANCASH,ANTONIO RAYMONDI,ACZO,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,CHIMBAN,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CUTERVO,SOCOTA,Lluvioso con oto
CAJAMARCA,CUTERVO,SANTO TOMAS,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CUTERVO,PIMPINGOS,Semiseco con humedad abundante todas las estaciones del a
ANCASH,HUARI,MASIN,Lluvioso con oto
HUANUCO,AMBO,COLPAS,Lluvioso con oto
HUANUCO,AMBO,CAYNA,Lluvioso con oto
HUANUCO,HUANUCO,MARGOS,Lluvioso con oto
HUANUCO,HUANUCO,SAN PEDRO DE CHAULAN,Lluvioso con oto
HUANUCO,HUANUCO,PILLCO MARCA,Semiseco con humedad abundante todas las estaciones del a
JUNIN,CONCEPCION,COCHAS,Lluvioso con oto
JUNIN,CONCEPCION,ANDAMARCA,Lluvioso con oto
JUNIN,CONCEPCION,MARISCAL CASTILLA,Semiseco con humedad abundante todas las estaciones del a
PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,Lluvioso con oto
JUNIN,JAUJA,SINCOS,Lluvioso con oto
JUNIN,HUANCAYO,EL TAMBO,Lluvioso con oto
JUNIN,CONCEPCION,MATAHUASI,Semiseco con humedad abundante todas las estaciones del a
JUNIN,JAUJA,JAUJA,Semiseco con humedad abundante todas las estaciones del a
HUANUCO,HUANUCO,YACUS,Lluvioso con oto
CAJAMARCA,SAN MIGUEL,TONGOD,Lluvioso con oto
CAJAMARCA,CUTERVO,SANTA CRUZ,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CUTERVO,CALLAYUC,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,UTCUBAMBA,EL MILAGRO,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,BAGUA,BAGUA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,COCHABAMBA,Semiseco con humedad abundante todas las estaciones del a
PUNO,SAN ANTONIO DE PUTINA,SINA,Lluvioso con oto
PUNO,SANDIA,QUIACA,Lluvioso con oto
PUNO,SANDIA,CUYOCUYO,Lluvioso con oto
PUNO,CARABAYA,USICAYOS,Lluvioso con oto
PUNO,SANDIA,PHARA,Semiseco con humedad abundante todas las estaciones del a
APURIMAC,ANDAHUAYLAS,HUAYANA,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,TURPO,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,CHIARA,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,YAULI,Lluvioso con oto
HUANCAVELICA,ANGARAES,CCOCHACCASA,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,HUANDO,Lluvioso con oto
JUNIN,HUANCAYO,SAÑO,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,VILCA,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,CUENCA,Lluvioso con oto
JUNIN,HUANCAYO,CHUPURO,Lluvioso con oto
JUNIN,HUANCAYO,VIQUES,Semiseco con humedad abundante todas las estaciones del a
JUNIN,HUANCAYO,HUAYUCACHI,Semiseco con humedad abundante todas las estaciones del a
JUNIN,CHUPACA,CHONGOS BAJO,Lluvioso con oto
HUANCAVELICA,TAYACAJA,HUARIBAMBA,Semiseco con humedad abundante todas las estaciones del a
JUNIN,JAUJA,LEONOR ORDOÑEZ,Lluvioso con oto
JUNIN,HUANCAYO,QUILCAS,Lluvioso con oto
JUNIN,JAUJA,MUQUI,Semiseco con humedad abundante todas las estaciones del a
JUNIN,JAUJA,MUQUIYAUYO,Lluvioso con oto
JUNIN,JAUJA,HUARIPAMPA,Semiseco con oto o e invierno secos. Frso.
JUNIN,JAUJA,SAN LORENZO,Semiseco con humedad abundante todas las estaciones del a
JUNIN,JAUJA,EL MANTARO,Semiseco con humedad abundante todas las estaciones del a
JUNIN,JAUJA,SAUSA,Semiseco con humedad abundante todas las estaciones del a
JUNIN,TARMA,SAN PEDRO DE CAJAS,Lluvioso con oto
APURIMAC,CHINCHEROS,ANCO_HUALLO,Lluvioso con oto
HUANCAVELICA,ANGARAES,SECCLLA,Lluvioso con oto
HUANCAVELICA,TAYACAJA,PAMPAS,Semiseco con oto o e invierno secos. Frso.
JUNIN,HUANCAYO,COLCA,Semiseco con oto o e invierno secos. Frso.
HUANCAVELICA,TAYACAJA,QUISHUAR,Semiseco con humedad abundante todas las estaciones del a
JUNIN,HUANCAYO,CULLHUAS,Lluvioso con oto
AYACUCHO,SUCRE,PAICO,Lluvioso con oto
AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE,Lluvioso con oto
AYACUCHO,SUCRE,CHILCAYOC,Lluvioso con oto
AYACUCHO,SUCRE,CHALCOS,Lluvioso con oto
JUNIN,HUANCAYO,PUCARA,Lluvioso con oto
HUANCAVELICA,ANGARAES,ANCHONGA,Lluvioso con oto
JUNIN,HUANCAYO,HUANCAYO,Lluvioso con oto
JUNIN,CONCEPCION,MITO,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,HUANCAVELICA,MARISCAL CACERES,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,HUANCAVELICA,MOYA,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,PILCHACA,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,HUANCAVELICA,HUAYLLAHUARA,Lluvioso con oto
HUANCAVELICA,TAYACAJA,ACOSTAMBO,Lluvioso con oto
JUNIN,HUANCAYO,CARHUACALLANGA,Lluvioso con oto
HUANCAVELICA,TAYACAJA,AHUAYCHA,Lluvioso con oto
HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,Semiseco con oto o e invierno secos. Frso.
HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,Lluvioso con oto
JUNIN,CHUPACA,HUAMANCACA CHICO,Semiseco con humedad abundante todas las estaciones del a
JUNIN,HUANCAYO,CHILCA,Lluvioso con oto
JUNIN,HUANCAYO,SAPALLANGA,Lluvioso con oto
JUNIN,CHUPACA,CHUPACA,Semiseco con humedad abundante todas las estaciones del a
JUNIN,CHUPACA,AHUAC,Lluvioso con oto
JUNIN,HUANCAYO,PILCOMAYO,Semiseco con humedad abundante todas las estaciones del a
JUNIN,CHUPACA,HUACHAC,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,Lluvioso con oto
JUNIN,HUANCAYO,SICAYA,Semiseco con humedad abundante todas las estaciones del a
JUNIN,JAUJA,HUAMALI,Lluvioso con oto
JUNIN,JAUJA,HUERTAS,Semiseco con humedad abundante todas las estaciones del a
JUNIN,JAUJA,PANCAN,Semiseco con humedad abundante todas las estaciones del a
JUNIN,JAUJA,RICRAN,Lluvioso con oto
JUNIN,JAUJA,MOLINOS,Lluvioso con oto
JUNIN,JAUJA,APATA,Lluvioso con oto
JUNIN,CONCEPCION,COMAS,Lluvioso con oto
JUNIN,TARMA,TARMA,Lluvioso con oto
JUNIN,TARMA,TAPO,Lluvioso con oto
JUNIN,TARMA,LA UNION,Lluvioso con oto
JUNIN,TARMA,ACOBAMBA,Semiseco con oto숬o e invierno secos. Fr⤪o.
JUNIN,JAUJA,SAN PEDRO DE CHUNAN,Semiseco con oto숬o e invierno secos. Fr⤪o.
JUNIN,JAUJA,PACA,Lluvioso con oto
JUNIN,JAUJA,YAULI,Lluvioso con oto
CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,Lluvioso con oto
CAJAMARCA,CAJAMARCA,LLACANORA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,SAN MARCOS,GREGORIO PITA,Lluvioso con oto
CAJAMARCA,CAJAMARCA,NAMORA,Lluvioso con oto
ANCASH,ASUNCION,CHACAS,Lluvioso con oto
CAJAMARCA,CAJAMARCA,CAJAMARCA,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
ANCASH,HUARI,HUARI,Lluvioso con oto
ANCASH,HUARI,CHAVIN DE HUANTAR,Lluvioso con oto
PASCO,DANIEL ALCIDES CARRION,PAUCAR,Semiseco con humedad abundante todas las estaciones del a
PASCO,DANIEL ALCIDES CARRION,SAN PEDRO DE PILLAO,Lluvioso con oto
PASCO,DANIEL ALCIDES CARRION,TAPUC,Lluvioso con oto
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,Lluvioso con oto
CAJAMARCA,SAN MIGUEL,CALQUIS,Lluvioso con oto
HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,ANGUIA,Lluvioso con oto
CAJAMARCA,CHOTA,CHOROPAMPA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,PACCHA,Lluvioso con oto
CAJAMARCA,CELENDIN,CHUMUCH,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,LAJAS,Lluvioso con oto
CAJAMARCA,HUALGAYOC,CHUGUR,Lluvioso con oto
CAJAMARCA,CHOTA,PION,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CUTERVO,CUJILLO,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,CHOTA,Lluvioso con oto
CAJAMARCA,CUTERVO,SAN ANDRES DE CUTERVO,Lluvioso con oto
CAJAMARCA,CUTERVO,SAN JUAN DE CUTERVO,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,TACABAMBA,Lluvioso con oto
CAJAMARCA,CUTERVO,TORIBIO CASANOVA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CUTERVO,CHOROS,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,SANTA CRUZ,SANTA CRUZ,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,SANTA CRUZ,UTICYACU,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,SANTA CRUZ,LA ESPERANZA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,HUALGAYOC,BAMBAMARCA,Lluvioso con oto
CAJAMARCA,SANTA CRUZ,CHANCAYBAÑOS,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,CONCHAN,Lluvioso con oto
CAJAMARCA,CHOTA,CHALAMARCA,Lluvioso con oto
HUANCAVELICA,ANGARAES,LIRCAY,Lluvioso con oto
AYACUCHO,SUCRE,SANTIAGO DE PAUCARAY,Lluvioso con oto
AYACUCHO,HUANTA,UCHURACCAY,Lluvioso con oto
AYACUCHO,LA MAR,SANTA ROSA,Lluvioso con invierno seco. Templado.
AYACUCHO,LA MAR,AYNA,Lluvioso con invierno seco. Templado.
AYACUCHO,HUAMANGA,CHIARA,Lluvioso con oto
AYACUCHO,HUAMANGA,CARMEN ALTO,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUAMANGA,ACOCRO,Lluvioso con oto
AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUAMANGA,SOCOS,Lluvioso con oto
AYACUCHO,HUAMANGA,TAMBILLO,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUAMANGA,JESUS NAZARENO,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUAMANGA,AYACUCHO,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUAMANGA,ACOS VINCHOS,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUAMANGA,QUINUA,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,TAYACAJA,ANDAYMARCA,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,TAYACAJA,QUICHUAS,Lluvioso con oto
AYACUCHO,HUANTA,PUCACOLPA,Lluvioso con oto
HUANCAVELICA,TAYACAJA,PICHOS,Lluvioso con oto
HUANCAVELICA,TAYACAJA,SANTIAGO DE TUCUMA,Lluvioso con oto
MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,Semiseco con invierno seco. Frao.
MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,Semiseco con invierno seco. Frao.
MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,Semiseco con invierno seco. Frao.
PUNO,CARABAYA,CORANI,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
PUNO,CARABAYA,MACUSANI,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,SAN PABLO,TUMBADEN,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,CAJAMARCA,ENCAÑADA,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,SAN MIGUEL,CATILLUC,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
SAN MARTIN,MARISCAL CACERES,JUANJUI,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,HUALLAGA,SACANCHE,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,HUALLAGA,EL ESLABON,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,PICOTA,PILLUANA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,PICOTA,BUENOS AIRES,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,LAMAS,SHANAO,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
SAN MARTIN,LAMAS,RUMISAPA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,TARAPOTO,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,CACATACHI,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,HUALLAGA,TINGO DE SAPOSOA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,BELLAVISTA,SAN RAFAEL,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,PICOTA,PICOTA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,BELLAVISTA,BELLAVISTA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,HUALLAGA,PISCOYACU,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,PICOTA,SAN CRISTOBAL,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,PICOTA,CASPISAPA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,PICOTA,SAN HILARION,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,PICOTA,PUCACACA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,LAMAS,CUÑUMBUQUI,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BAGUA,EL PARCO,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,JUAN GUERRA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,MORALES,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,PADRE ABAD,IRAZOLA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,PADRE ABAD,NESHUYA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,PADRE ABAD,CURIMANA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,CORONEL PORTILLO,CAMPOVERDE,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,ATALAYA,YURUA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,UCAYALI,PADRE MARQUEZ,Lluvioso con humedad abundante todas las estaciones del a
MADRE DE DIOS,TAHUAMANU,IBERIA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,SAN ANTONIO,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,PAPAPLAYA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,MOYOBAMBA,CALZADA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,REQUENA,ALTO TAPICHE,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,RIOJA,POSIC,Lluvioso con humedad abundante todas las estaciones del a
LORETO,LORETO,PARINARI,Lluvioso con humedad abundante todas las estaciones del a
MADRE DE DIOS,TAMBOPATA,LABERINTO,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
LORETO,ALTO AMAZONAS,LAGUNAS,Lluvioso con humedad abundante todas las estaciones del a
LORETO,LORETO,URARINAS,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
LORETO,ALTO AMAZONAS,JEBEROS,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,PUERTO INCA,HONORIA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,CORONEL PORTILLO,MASISEA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,MOYOBAMBA,YANTALO,Lluvioso con humedad abundante todas las estaciones del a
LORETO,REQUENA,YAQUERANA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,REQUENA,REQUENA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,REQUENA,MAQUIA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,REQUENA,JENARO HERRERA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,CORONEL PORTILLO,CALLERIA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,CORONEL PORTILLO,YARINACOCHA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,PURUS,PURUS,Lluvioso con humedad abundante todas las estaciones del a
LORETO,UCAYALI,INAHUAYA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,CORONEL PORTILLO,MANANTAY,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,EL PORVENIR,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,LAMAS,BARRANQUITA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,Lluvioso con humedad abundante todas las estaciones del a
LORETO,ALTO AMAZONAS,YURIMAGUAS,Lluvioso con humedad abundante todas las estaciones del a
LORETO,REQUENA,TAPICHE,Lluvioso con humedad abundante todas las estaciones del a
LORETO,REQUENA,SOPLIN,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,MOYOBAMBA,HABANA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,REQUENA,EMILIO SAN MARTIN,Lluvioso con humedad abundante todas las estaciones del a
LORETO,ALTO AMAZONAS,SANTA CRUZ,Lluvioso con humedad abundante todas las estaciones del a
LORETO,REQUENA,CAPELO,Lluvioso con humedad abundante todas las estaciones del a
LORETO,REQUENA,PUINAHUA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,CHIPURANA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,RIOJA,YURACYACU,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,RIOJA,SAN FERNANDO,Lluvioso con humedad abundante todas las estaciones del a
LORETO,LORETO,NAUTA,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
LORETO,DATEM DEL MARAÑON,PASTAZA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,DATEM DEL MARAÑON,MORONA,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
ANCASH,RECUAY,TICAPAMPA,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,POMACOCHA,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,PAMPACHIRI,Lluvioso con oto
ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,Lluvioso con oto
AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,Lluvioso con oto
CUSCO,URUBAMBA,OLLANTAYTAMBO,Lluvioso con oto
CUSCO,URUBAMBA,MACHUPICCHU,Lluvioso con oto
ANCASH,RECUAY,CATAC,Lluvioso con oto
CAJAMARCA,CELENDIN,JOSE GALVEZ,Lluvioso con oto
LA LIBERTAD,SANCHEZ CARRION,SARIN,Lluvioso con oto
LA LIBERTAD,SANCHEZ CARRION,CURGOS,Lluvioso con oto
AYACUCHO,SUCRE,SORAS,Lluvioso con oto
PUNO,CHUCUITO,DESAGUADERO,Semiseco con oto o e invierno secos. Frso.
PUNO,CHUCUITO,HUACULLANI,Semiseco con oto o e invierno secos. Frso.
PUNO,CHUCUITO,ZEPITA,Semiseco con oto o e invierno secos. Frso.
PUNO,YUNGUYO,COPANI,Lluvioso con oto
PUNO,YUNGUYO,CUTURAPI,Lluvioso con oto
PUNO,CHUCUITO,POMATA,Semiseco con oto o e invierno secos. Frso.
PUNO,YUNGUYO,ANAPIA,Lago Titicaca
PUNO,CHUCUITO,JULI,Lluvioso con oto
PUNO,EL COLLAO,PILCUYO,Semiseco con oto o e invierno secos. Frso.
PUNO,PUNO,SAN ANTONIO,Lluvioso con otoio e invierno secos. Semifrsgido.
PUNO,PUNO,PICHACANI,Lluvioso con oto
PUNO,PUNO,CHUCUITO,Lluvioso con oto
PUNO,PUNO,PUNO,Lluvioso con oto
PUNO,PUNO,TIQUILLACA,Lluvioso con oto
PUNO,PUNO,PAUCARCOLLA,Semiseco con oto o e invierno secos. Frso.
PUNO,SAN ROMAN,CABANILLAS,Semiseco con invierno seco. Frao.
PUNO,PUNO,COATA,Semiseco con oto o e invierno secos. Frso.
PUNO,SAN ROMAN,CABANA,Semiseco con oto o e invierno secos. Frso.
PUNO,PUNO,CAPACHICA,Lluvioso con oto
PUNO,LAMPA,CABANILLA,Semiseco con oto o e invierno secos. Frso.
PUNO,MOHO,CONIMA,Lluvioso con oto
PUNO,HUANCANE,PUSI,Semiseco con oto o e invierno secos. Frso.
PUNO,LAMPA,SANTA LUCIA,Lluvioso con humedad abundante todas las estaciones del a
PUNO,SAN ROMAN,JULIACA,Semiseco con oto o e invierno secos. Frso.
PUNO,MELGAR,UMACHIRI,Lluvioso con oto
CUSCO,ESPINAR,PALLPATA,Lluvioso con oto
PUNO,AZANGARO,AZANGARO,Semiseco con oto o e invierno secos. Frso.
CUSCO,ESPINAR,ESPINAR,Lluvioso con oto
PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU,Lluvioso con oto
PUNO,MELGAR,AYAVIRI,Lluvioso con oto
AREQUIPA,LA UNION,PUYCA,Lluvioso con invierno seco. Freo.
AREQUIPA,LA UNION,HUAYNACOTAS,Lluvioso con oto
CUSCO,ESPINAR,ALTO PICHIGUA,Lluvioso con oto
AREQUIPA,CONDESUYOS,CAYARANI,Lluvioso con oto
CUSCO,ESPINAR,PICHIGUA,Lluvioso con oto
HUANUCO,LAURICOCHA,QUEROPALCA,Lluvioso con oto
PUNO,PUNO,ACORA,Semiseco con invierno seco. Frao.
PUNO,PUNO,MAÑAZO,Lluvioso con oto
PUNO,PUNO,VILQUE,Semiseco con oto o e invierno secos. Frso.
AREQUIPA,CAYLLOMA,CALLALLI,Lluvioso con invierno seco. Semifr gido.
PUNO,HUANCANE,TARACO,Semiseco con oto o e invierno secos. Frso.
AREQUIPA,CASTILLA,ORCOPAMPA,Semiseco con invierno seco. Frao.
CUSCO,ESPINAR,SUYCKUTAMBO,Lluvioso con oto
AREQUIPA,CASTILLA,CHACHAS,Lluvioso con humedad abundante todas las estaciones del a
PUNO,AZANGARO,TIRAPATA,Lluvioso con oto
PUNO,MELGAR,CUPI,Lluvioso con oto
AREQUIPA,CAYLLOMA,CAYLLOMA,Lluvioso con humedad abundante todas las estaciones del a
AREQUIPA,LA UNION,PAMPAMARCA,Lluvioso con invierno seco. Freo.
PUNO,MELGAR,ORURILLO,Lluvioso con oto
PUNO,MELGAR,MACARI,Lluvioso con oto
PUNO,AZANGARO,ASILLO,Lluvioso con oto
PUNO,EL COLLAO,ILAVE,Semiseco con oto o e invierno secos. Frso.
PASCO,PASCO,YANACANCHA,Lluvioso con oto
PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,Lluvioso con oto
CUSCO,CALCA,LARES,Lluvioso con oto
HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,Lluvioso con oto
LIMA,HUAROCHIRI,CHICLA,Lluvioso con humedad abundante todas las estaciones del a
PUNO,AZANGARO,SAN JUAN DE SALINAS,Semiseco con oto o e invierno secos. Frso.
PUNO,SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA,Lluvioso con oto
CUSCO,ESPINAR,OCORURO,Lluvioso con oto
PUNO,HUANCANE,INCHUPALLA,Lluvioso con oto
PUNO,LAMPA,PUCARA,Lluvioso con oto
CUSCO,CANAS,TUPAC AMARU,Lluvioso con oto
PUNO,MELGAR,NUÑOA,Lluvioso con oto
PUNO,CARABAYA,AJOYANI,Lluvioso con oto
CUSCO,CANCHIS,SAN PABLO,Lluvioso con oto
APURIMAC,COTABAMBAS,CHALLHUAHUACHO,Lluvioso con oto
CUSCO,ACOMAYO,MOSOC LLACTA,Lluvioso con oto
HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,Lluvioso con oto
CUSCO,URUBAMBA,URUBAMBA,Lluvioso con oto
CUSCO,CALCA,CALCA,Lluvioso con oto
HUANUCO,YAROWILCA,JACAS CHICO,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,ASCENSION,Lluvioso con oto
JUNIN,JAUJA,ACOLLA,Semiseco con oto o e invierno secos. Frso.
PUNO,LAMPA,CALAPUJA,Semiseco con oto o e invierno secos. Frso.
CUSCO,CANCHIS,SAN PEDRO,Lluvioso con oto
CUSCO,CANCHIS,TINTA,Lluvioso con oto
JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,Lluvioso con oto
CUSCO,CUSCO,SANTIAGO,Lluvioso con oto
CUSCO,QUISPICANCHI,OCONGATE,Lluvioso con oto
JUNIN,CHUPACA,YANACANCHA,Lluvioso con oto
LIMA,YAUYOS,VITIS,Lluvioso con oto
JUNIN,JAUJA,LLOCLLAPAMPA,Lluvioso con oto
LIMA,HUAROCHIRI,CARAMPOMA,Lluvioso con humedad abundante todas las estaciones del a
JUNIN,JAUJA,POMACANCHA,Lluvioso con oto
JUNIN,YAULI,SANTA ROSA DE SACCO,Lluvioso con oto
PASCO,PASCO,HUAYLLAY,Lluvioso con oto
PASCO,PASCO,TINYAHUARCO,Lluvioso con oto
PASCO,PASCO,CHAUPIMARCA,Lluvioso con oto
JUNIN,JUNIN,CARHUAMAYO,Lluvioso con oto
PASCO,PASCO,VICCO,Lluvioso con oto
HUANUCO,LAURICOCHA,SAN MIGUEL DE CAURI,Lluvioso con oto
PASCO,PASCO,SIMON BOLIVAR,Lluvioso con oto
PUNO,PUNO,AMANTANI,Lluvioso con oto
